"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
192,3774,44714.66,59263.35,194.90,1655,415,0,19.91
193,3793,44693.57,59258.66,183.25,1522,418,0,19.27
194,3883,44718.23,59244.18,181.61,1716,415,0,16.86
195,3908,44721.26,59255.59,190.08,2300,403,0,14.00
196,3909,44721.26,59255.59,190.08,2300,403,0,14.00
197,3930,44657.91,59261.30,217.95,2780,409,0,15.22
198,3962,44674.53,59253.61,198.10,2252,411,0,15.45
199,4026,44718.81,59258.67,200.19,2062,411,0,16.95
200,4088,44690.75,59262.09,209.26,2197,403,0,17.26
201,4089,44690.75,59262.09,209.26,2197,403,0,17.26
202,4100,44707.70,59255.03,213.95,2585,400,0,15.42
203,4131,44705.82,59245.59,222.36,2261,412,0,19.14
204,4132,44705.82,59245.59,222.36,2261,412,0,19.14
205,4296,44752.07,59266.83,162.55,1059,427,0,22.03
206,4297,44716.48,59266.25,174.27,2064,414,0,13.30
207,4298,44716.48,59266.25,174.27,2064,414,0,13.30
208,4348,44709.65,59248.63,146.96,1275,417,0,15.34
209,4361,44726.24,59259.29,210.46,2381,416,0,17.44
210,4362,44726.24,59259.29,210.46,2381,416,0,17.44
211,4424,44706.46,59246.74,214.07,1952,416,0,20.47
212,4456,44720.47,59256.56,211.19,2284,404,0,16.95
213,4490,44710.63,59260.83,178.74,1733,415,0,16.44
214,4491,44710.63,59260.83,178.74,1733,415,0,16.44
215,4609,44690.77,59266.73,217.68,2335,410,0,17.75
216,4626,44704.33,59243.63,215.60,2603,394,0,15.47
217,4682,44673.92,59234.25,212.95,2073,408,0,19.37
218,4688,44719.64,59249.44,169.69,1540,422,0,16.72
219,4689,44719.64,59249.44,169.69,1540,422,0,16.72
220,4734,44720.21,59241.11,205.37,2164,408,0,16.97
221,4756,44696.81,59260.43,221.12,2490,405,0,17.60
222,4905,44708.65,59252.59,197.89,2177,407,0,16.01
223,5012,44727.35,59258.39,134.06,972,426,0,16.94
224,5035,44740.38,59257.69,201.83,2278,407,0,15.99
225,5051,44731.44,59262.69,158.52,1471,417,0,15.35
226,5052,44731.44,59262.69,158.52,1471,417,0,15.35
227,5069,44685.63,59255.31,150.59,1246,427,0,16.48
228,5122,44679.56,59261.77,204.76,2449,404,0,14.99
229,5123,44695.78,59265.76,129.10,952,427,0,16.19
230,5129,44723.78,59259.18,133.88,953,422,0,17.13
231,5150,44690.37,59264.02,149.14,1093,426,0,18.30
232,5151,44690.37,59264.02,149.14,1093,426,0,18.30
233,5193,44704.99,59258.37,167.89,1510,427,0,16.80
234,5194,44704.99,59258.37,167.89,1510,427,0,16.80
235,5197,44721.60,59243.20,202.06,1577,419,0,22.46
236,5200,44679.13,59266.11,202.41,2308,409,0,15.58
237,5201,44679.13,59266.11,202.41,2308,409,0,15.58
238,5210,44702.22,59255.73,204.39,2064,400,0,17.42
239,5211,44764.56,59241.18,225.15,2737,412,0,16.82
240,5239,44701.72,59266.26,194.92,2184,403,0,15.15
241,5281,44718.15,59264.51,213.11,1748,413,0,22.44
242,5361,44705.70,59264.11,193.60,2118,416,0,15.86
243,5397,44753.20,59260.75,160.89,1481,419,0,15.66
244,5455,44712.43,59258.23,201.54,2059,411,0,17.60
245,5488,44686.20,59254.50,180.54,1593,418,0,17.95
246,5520,44708.98,59249.46,216.39,2224,401,0,18.19
247,5521,44708.98,59249.46,216.39,2224,401,0,18.19
248,5531,44688.34,59265.42,175.51,1250,429,0,21.70
249,5536,44665.66,59260.19,175.50,1590,421,0,17.33
250,5608,44690.60,59237.44,211.13,2411,413,0,16.60
251,5690,44681.56,59221.65,231.12,2401,405,0,19.61
252,5782,44705.84,59260.50,154.07,1270,420,0,16.72
