id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty_xy [nm]
1669,5203,1274.594,1276.111,137.11,16179,84,0,1.52
1670,5204,1273.218,1273.168,130.84,14744,112,0,1.58
1671,5595,1293.23,1282.813,136.7,28570,88,0,1.08
1672,5596,1269.044,1290.117,133.74,23896,98,0,1.18
1673,5597,1282.256,1287.441,133.79,26817,114,0,1.12
1674,5598,1279.367,1276.464,132.44,26345,116,0,1.11
1675,5599,1279.646,1274.091,129.21,25594,135,0,1.1
1676,446,1285.423,1282.943,133.83,19397,103,0,1.33
1677,451,1275.17,1283.781,133.85,19095,102,0,1.37
1678,463,1281.103,1285.229,137,20088,89,0,1.36
1679,465,1281.18,1287.51,139.07,20396,79,0,1.35
1680,2268,1282.585,1279.36,126.51,7714,117,0,2.35
1681,5201,1287.984,1282.14,133.91,15028,109,0,1.61
1682,903,1281.826,1270.497,134.6,12207,106,0,1.91
1683,918,1278.705,1272.509,135.55,12720,98,0,1.87
1684,2644,1278.707,1277.158,131.64,15748,109,0,1.56
1685,2656,1275.71,1275.722,132.33,15479,111,0,1.61
1686,4073,1281.356,1270.193,132.87,21595,109,0,1.31
1687,892,1280.76,1273.054,129.3,11410,112,0,1.88
1688,896,1276.854,1279.192,133.32,12223,108,0,1.87
1689,2654,1282.563,1281.1,140.55,16755,83,0,1.62
1690,4075,1277.792,1278.585,136.42,22518,94,0,1.29
1691,895,1277.56,1271.748,132.99,11979,105,0,1.89
1692,902,1283.736,1284.735,136.31,12922,90,0,1.82
1693,907,1276.015,1281.715,137.7,12636,95,0,1.9
1694,908,1282.583,1274.265,131.28,11939,103,0,1.83
1695,909,1277.708,1282.459,135.61,12705,92,0,1.85
1696,916,1272.203,1273.888,130.21,11892,108,0,1.83
1697,1357,1279.619,1280.125,138.48,8880,89,0,2.4
1698,1359,1286.186,1272.251,128.17,7347,110,0,2.49
1699,1361,1276.707,1282.847,126.66,7530,107,0,2.39
1700,2647,1282.818,1268.286,132.61,15150,107,0,1.6
1701,2657,1283.976,1280.045,134.62,16224,101,0,1.55
1702,4068,1279.412,1289.544,133.57,21851,108,0,1.29
1703,4069,1290.58,1279.783,133.73,19823,92,0,1.35
1704,4070,1273.574,1272.805,136.64,22522,94,0,1.3
1705,4071,1276.611,1282.373,131.89,21264,106,0,1.28
1706,4072,1278.837,1279.962,133.13,21437,101,0,1.28
1707,4079,1275.445,1281.34,135.65,22875,92,0,1.27
1708,4080,1279.919,1279.16,132.09,21251,112,0,1.3
1709,4081,1284.517,1276.705,136.12,22519,95,0,1.29
1710,4082,1275.835,1278.349,134.13,21517,110,0,1.31
1711,893,1274.634,1286.772,135.61,12702,93,0,1.82
1712,894,1283.487,1299.095,132.03,12208,95,0,1.82
1713,897,1289.26,1287.844,135.96,12873,93,0,1.83
1714,898,1275.842,1282.292,129.49,11962,106,0,1.8
1715,899,1284.14,1283.251,134.73,12001,102,0,1.92
1716,900,1278.878,1274.542,131.16,11793,106,0,1.86
1717,901,1274.31,1289.78,132.13,12213,106,0,1.8
1718,904,1281.315,1282.543,138.48,13141,82,0,1.8
1719,905,1284.576,1274.227,140.98,13042,89,0,1.92
1720,906,1273.966,1286.753,131.83,12020,102,0,1.83
1721,910,1290.167,1275.401,134.63,12348,90,0,1.88
1722,911,1284.777,1275.774,132.88,12329,99,0,1.96
1723,912,1286.222,1284.108,135.15,12482,103,0,1.88
1724,913,1276.725,1281.084,135.06,12668,95,0,1.83
1725,914,1295.051,1289.917,133.67,12462,89,0,1.83
1726,915,1278.163,1283.752,137.64,13135,82,0,1.83
1727,917,1285.089,1270.182,132.68,12098,105,0,1.86
1728,1355,1274.89,1271.84,134.74,8790,89,0,2.29
1729,1358,1278.107,1274.293,135.46,8475,95,0,2.41
1730,1360,1277.151,1285.504,136.16,8435,94,0,2.49
1731,1362,1279.492,1280.381,140.02,8953,90,0,2.5
1732,2645,1282.046,1278.862,137.13,16223,92,0,1.59
1733,2646,1270.119,1276.753,135.39,15810,97,0,1.6
1734,2648,1277.65,1279.826,132.24,15512,102,0,1.51
1735,2649,1271.813,1274.76,137.97,16796,85,0,1.58
1736,2650,1283.621,1279.921,133.1,15498,105,0,1.59
1737,2651,1275.439,1277.236,131.91,15244,104,0,1.57
1738,2652,1283.136,1278.828,133.28,15345,105,0,1.63
1739,2653,1271.728,1272.349,134.22,15757,98,0,1.57
1740,2655,1273.648,1285.755,133.61,15531,109,0,1.59
1741,2658,1276.308,1285.322,135.04,16413,95,0,1.54
1742,4074,1274.216,1281.528,137.14,22069,98,0,1.33
1743,4076,1281.861,1274.673,130.85,20966,121,0,1.31
1744,4077,1278.147,1277.265,135.2,22376,97,0,1.31
1745,4078,1285.567,1284.206,132.53,21411,113,0,1.3
